%time,field.left_wheel,field.right_wheel
1304221339107640981,3.76985955238,3.76985955238
1304221339147629976,3.77011847496,3.77011847496
1304221339187669992,3.76373529434,3.76373529434
1304221339227550029,3.77668261528,3.77668261528
1304221339267535924,3.76959681511,3.76959681511
1304221339307560920,3.76978349686,3.76978349686
1304221339347549915,3.77033877373,3.77033877373
1304221339387604951,3.92706799507,3.76998519897
1304221339427565097,3.6120595932,3.76910567284
1304221339467561006,3.92745733261,3.77035903931
1304221339507559061,3.77005028725,3.77005028725
1304221339547524929,3.76949644089,3.76949644089
1304221339587544918,3.77057123184,3.77057123184
1304221339627552032,3.76982355118,3.6127474308
1304221339667563915,3.6124932766,3.7695581913
1304221339707571983,3.61261796951,3.76968836784
1304221339747555017,3.77021694183,3.77021694183
1304221339787511110,3.92649006844,3.76943039894
1304221339827558994,3.7705476284,3.92765378952
1304221339867563009,3.76974630356,3.76974630356
1304221339907625913,3.76657342911,3.76657342911
1304221339947580099,3.77013134956,3.77013134956
1304221339987524986,3.61606764793,3.77328801155
1304221340027564048,3.76924443245,3.76924443245
1304221340067550897,3.92783761024,3.77072405815
1304221340107611894,3.61134910583,3.76836419106
1304221340147414922,3.9462480545,3.78839802742
1304221340187355995,3.61559462547,3.77279448509
1304221340227380990,3.76728868484,3.76728868484
1304221340267421007,3.76604533195,3.76604533195
1304221340307414054,3.61747455597,3.77475619316
1304221340347459077,3.76603841782,3.76603841782
1304221340387378931,3.77611112595,3.77611112595
1304221340427411079,3.61276936531,3.76984620094
1304221340467408895,3.76676011086,3.76676011086
1304221340507401943,3.92618703842,3.76913952827
1304221340547446012,3.77028775215,3.77028775215
1304221340587404012,3.92771911621,3.77061033249
1304221340627415895,3.77256202698,3.77256202698
1304221340667401075,3.92395591736,3.76699757576
1304221340711374998,3.42789530754,3.71355342865
1304221340759438037,3.53304553032,3.53304553032
1304221340795461893,3.66262125969,3.66262125969
1304221340835514068,4.23612976074,4.07923603058
1304221340875432014,3.77707648277,3.46232008934
1304221340915432929,3.76955127716,4.08368062973
1304221340951488018,4.1846408844,3.8359208107
1304221340987391948,3.66946125031,3.84419751167
1304221341027441024,3.77065825462,3.77065825462
1304221341067444086,3.76933574677,3.76933574677
1304221341107496976,3.75794196129,3.75794196129
1304221341183510065,3.63777446747,3.72045135498
1304221341218115091,3.81372928619,3.26891064644
1304221341243412971,4.22648143768,4.22648143768
1304221341271388053,3.81461834908,3.81461834908
1304221341307332992,3.84323787689,3.84323787689
1304221341347424983,3.7661921978,3.7661921978
1304221341387417078,3.92786717415,3.77075242996
1304221341427354097,3.77212691307,3.77212691307
1304221341467396974,3.76643800735,3.76643800735
1304221341507420063,3.77080082893,3.77080082893
1304221341547368049,3.77352452278,3.77352452278
1304221341587354898,3.76928949356,3.76928949356
1304221341627325057,3.9270465374,3.76996469498
1304221341667481899,3.76325559616,3.76325559616
1304221341711412906,3.85946536064,3.7165222168
1304221341747436046,3.66245436668,3.66245436668
1304221341787419080,3.77170085907,3.92885518074
1304221341827383995,3.93035244942,3.93035244942
1304221341867449998,3.76007032394,3.76007032394
1304221341907377004,3.77938342094,3.93685770035
1304221341947397947,3.92326021194,3.76632976532
1304221341987418889,3.77124547958,3.77124547958
1304221342027411937,3.77007985115,3.77007985115
1304221342067424058,3.92578291893,3.76875162125
1304221342107431888,3.76733565331,3.76733565331
1304221342147380113,3.93050479889,3.77328467369
1304221342187397956,3.76918196678,3.76918196678
1304221342227423906,3.77026200294,3.77026200294
1304221342267386913,3.92774653435,3.77063679695
1304221342307328939,3.77231550217,3.77231550217
1304221342347388029,3.76721858978,3.92418599129
1304221342387414932,3.76741170883,3.76741170883
1304221342427396059,3.92881727219,3.61451196671
